sozshakllar,soni
bilan,491
bir,490
ham,439
oyim,375
dedi,375
u,297
edi,292
nima,231
keyin,212
bu,205
ketdi,186
bo‘lib,173
yo‘q,173
yana,169
deb,155
qilib,154
men,149
bor,146
shu,141
ekan,137
xola,135
qoldi,132
endi,129
dadam,125
o‘sha,121
onam,120
har,116
uchun,112
uning,108
dedim,106
bo‘lsa,105
keldi,101
olib,100
kuni,99
o‘zi,98
ammo,98
bo‘ldi,95
hech,92
yaxshi,91
chiqib,86
qarab,85
mana,83
turgan,81
ikki,76
oyimning,76
sekin,76
ketgan,74
qolgan,72
kerak,70
ermon,69
deydi,67
ovozi,66
odam,66
akam,66
kirib,66
meni,62
bolam,62
edim,62
kim,60
boshladi,60
voy,60
dalavoy,59
bosh,59
bola,59
chiqdi,58
kelib,57
zebi,57
menga,56
katta,56
hozir,56
turib,55
tag‘in,55
biroq,55
zum,55
qoldim,53
oyi,53
negadir,53
faqat,52
ko‘p,51
emas,51
uch,51
qo‘ydi,50
buva,50
uni,50
opa,49
shunday,48
bo‘ladi,48
shekilli,48
boshini,47
opam,47
ammam,47
yomon,46
nega,46
yerga,46
suv,45
hali,45
xo‘ja,45
bitta,44
hamon,43
ketdim,43
ketadi,43
shunaqa,43
sen,43
qildi,43
qo‘yib,42
boshqa,42
ko‘tarib,42
degan,42
gap,42
juda,42
ustiga,42
ko‘rib,42
qoladi,41
oldi,40
sepkilli,40
tushib,40
shundoq,40
o‘zim,40
marta,39
xotin,39
birdan,39
xuddi,39
jon,39
bo‘lmasa,38
hamma,38
buvi,38
o‘z,37
keladi,37
o‘rnidan,37
ana,37
oyimga,37
bolalar,36
onamning,36
tushdi,36
goh,36
olgan,36
toy,36
qarasam,35
kun,35
odamlar,35
sartarosh,35
risolat,35
turibdi,34
uyga,34
borib,34
kishi,34
etib,34
mening,33
yer,33
nimaga,33
ukam,33
tikilib,33
bilaman,32
mayli,32
solib,32
uy,32
qo‘li,32
qo‘l,31
indamay,31
tomonga,31
qo‘lini,31
yubordi,31
eski,30
tortib,30
o‘g‘lim,30
siz,30
poshsha,30
choy,30
eng,29
yosh,29
alla,29
ha,29
mahal,29
ohangda,29
qani,28
turdi-da,28
xolaning,28
qaytib,28
ko‘zlari,28
qo‘yadi,27
qo‘lida,27
jimib,27
qotib,27
qaysi,27
dadamning,27
shunda,27
oldida,27
yigit,26
ko‘zini,26
xo‘janing,26
biri,26
qiladi,26
afzalxon,26
ehtimol,26
nuqul,26
unga,26
oppoq,26
ertalab,26
bunaqa,25
o‘rgilay,25
qachon,25
darrov,25
berdi,25
oldiga,25
tutib,25
aytib,25
qiziq,25
qor,25
titrab,25
beradi,25
oy,24
hoji,24
yig‘lab,24
ustida,24
kiyib,24
kiygan,24
aylanay,24
o‘tib,24
ko‘z,24
vali,24
onamga,24
senga,24
biz,24
yarim,23
to‘satdan,23
qo‘limdan,23
beri,23
g‘alati,23
yuz,23
birinchi,23
qaradi,23
ichida,23
yoqqa,23
qo‘lidan,23
o‘tirib,23
yotgan,23
qanaqa,23
turadi,23
habiba,23
o‘tirgan,23
guli,23
o‘tmay,22
ikkalamiz,22
bormi,22
chayqadi,22
chiqadi,22
hayron,22
naim,22
turar,22
yong‘oq,22
qora,22
akamning,22
yangi,22
doim,22
uzoq,22
ayol,22
non,22
oxiri,22
hammasini,22
pora,22
ovozini,22
esa,22
huri,21
dalavoyning,21
jilmaydi,21
bo‘lsam,21
hoy,21
to‘xtab,21
ikkita,21
jahl,21
eshik,21
besh,21
yaqin,21
unaqa,21
o‘shanda,21
qadam,21
ikkinchi,20
turdi,20
qo‘ya,20
o‘n,20
onasi,20
xafa,20
ancha,20
nimani,20
ko‘rdim,20
hatto,20
ketidan,20
oq,20
lo‘li,20
lekin,20
beraman,20
nihoyat,20
maza,20
qarang,20
ma’yus,20
hammamiz,20
oyog‘i,20
burnini,20
e,20
narsani,20
ushlab,20
akalarim,20
boshimni,20
ochib,20
to‘g‘ri,19
jo‘raboshi,19
bo‘pti,19
shuncha,19
eshitildi,19
allaqanday,19
darvoza,19
shayx,19
yerda,19
xayri,19
sovuq,19
qilgan,19
kulib,19
eshikdan,19
acha,19
hidi,19
tagiga,19
rangi,19
ertasiga,19
jo‘raboshimiz,19
otin,19
imo,19
bo‘lmaydi,18
butun,18
boshiga,18
so‘m,18
qo‘ying,18
yurgan,18
hovli,18
ko‘ziga,18
xudo,18
kelgan,18
ko‘zimga,18
o‘tiribdi,18
bo‘lgan,18
echki,18
xo‘p,18
tut,18
ohista,18
qop-qora,18
kampir,18
qo‘yilgan,18
qo‘rqib,18
berib,18
birovning,18
yil,18
sandal,18
ekanman,18
tortdi,17
birpasda,17
bosib,17
ingichka,17
satang,17
juvon,17
qizim,17
klava,17
hammasi,17
bo‘lardi,17
kimga,17
ko‘zi,17
yerdan,17
dallol,17
qo‘ygan,17
yotibdi,17
tushundim,17
ot,17
aytdi,17
o‘zimning,17
jahli,17
yuzi,16
aylanib,16
o‘zimizning,16
uxlab,16
yili,16
qiyofada,16
baribir,16
kutib,16
xaridor,16
o‘zini,16
chiqqan,16
bilib,16
aytgan,16
urush,16
tilla,16
qattiq,16
ayniqsa,16
qo‘lim,16
bo‘lmadi,16
bahor,16
gapni,16
undan,16
mol,16
dunyoda,16
kechqurun,16
ularning,16
yeb,16
uch-to‘rt,16
ol,16
boyagi,16
qayoqqa,16
kecha,15
to‘y,15
o‘zining,15
degandek,15
judayam,15
yelkasiga,15
chiroyli,15
bo‘ldim,15
buvaning,15
shirin,15
bizning,15
dedi-yu,15
boyadan,15
qoling,15
sal,15
ko‘zim,15
nari,15
bolaga,15
hovliga,15
yur,15
battar,15
pul,15
opamning,15
qancha,15
bosgan,15
tashlab,15
ko‘ylak,15
silab,15
ko‘zlarini,15
sizga,15
shuni,15
olaman,15
ko‘rishdi,15
agar,15
tushgan,15
bozor,15
hadeb,15
onamni,14
bo‘p,14
mashina,14
kelyapti,14
xotinlar,14
tomosha,14
qandaydir,14
ko‘zlarida,14
ketaman,14
tagida,14
oltmishvoy,14
qo‘shib,14
deng,14
dadamga,14
ekanini,14
achinska,14
kichkina,14
nur,14
qo‘lidagi,14
chetida,14
avval,14
ko‘rinib,14
yo,14
qiz,14
jilmayib,14
albatta,14
qoldik,14
yechib,14
beixtiyor,14
yurib,14
ovozda,14
bo‘lsin,14
o‘rtasida,14
siltab,14
o‘xshaydi,14
mehri,14
iya,14
ko‘chaga,14
yugurib,14
oldim,14
desa,14
yubordim,13
yolg‘on,13
shosha-pisha,13
tashqarida,13
deraza,13
sizni,13
turardi,13
akamga,13
emish,13
kirdi,13
bo‘lgani,13
ko‘rdi,13
kuchugim,13
narsa,13
ba’zan,13
boshqacha,13
jimjit,13
cho‘kkalab,13
ming,13
axir,13
debdi,13
topib,13
ko‘raman,13
tomonda,13
desam,13
iloyo,13
keldim,13
ishga,13
qandoq,13
davom,13
xolposh,13
so‘radi,13
ketibdi,13
qalin,13
edik,13
bo‘lsayam,13
qo‘limga,13
o‘ziga,13
qaradim,13
baraka,13
o‘qituvchi,13
qo‘y,13
ona,13
boraman,13
berdim,13
kechasi,13
do‘ppi,12
qaraganda,12
ish,12
otib,12
kelin,12
yetib,12
chap,12
tuproq,12
kelinning,12
ovsinjon,12
dutor,12
buni,12
ketgandek,12
qorong‘i,12
rahmat,12
uzun,12
joyga,12
gal,12
atlas,12
qo‘shni,12
oftob,12
anchagacha,12
qon,12
xudoga,12
o‘zingiz,12
qilamiz,12
sekingina,12
birovga,12
uyg‘onib,12
qo‘liga,12
bergan,12
o‘tir,12
yetaklab,12
boricha,12
termilib,12
gapini,12
o‘tirar,12
tushdim,12
eshikni,12
yuzini,12
bittasi,12
uchunmi,12
shunchalik,12
bo‘lishini,12
jahongir,12
kattakon,12
xira,12
xil,12
degani,11
odamni,11
oldi-da,11
gurji,11
shamol,11
cho‘ntagidan,11
soat,11
o‘chib,11
oyimni,11
bugun,11
sarg‘ish,11
sochlari,11
chindan,11
birpas,11
paydo,11
dunyoning,11
ko‘rgan,11
yopishdi,11
issiq,11
bizga,11
yuziga,11
bolani,11
og‘zidan,11
o‘ylab,11
yurtning,11
buyon,11
turardim,11
kuldi,11
qoshini,11
borligini,11
oyisi,11
yuradi,11
gunoh,11
zotli,11
siltadi,11
ketdik,11
boshim,11
sovchilar,11
baqirib,11
to‘la,11
adasi,11
ustidan,11
ko‘cha,11
rosa,11
ko‘chada,11
qilish,11
erta-indin,11
ikkovlari,11
bodom,11
yigirma,11
oldidagi,11
iljayib,11
yelkamga,11
alam,11
qilaman,11
kundan,11
boshlab,11
oyog‘im,11
payt,11
kerakmas,11
ko‘ra,11
birov,11
opovsi,11
sayin,11
yetti,11
bayram,11
qoshiq,11
qol,11
olti,11
bilmayman,11
ayting,11
safar,11
bundan,11
o‘xshagan,11
bashor,11
anchadan,11
narigi,11
aka,11
tolqon,11
tez-tez,11
aytishiga,11
qolar,11
maktabga,11
mo‘ylovi,11
yo‘lga,10
alaykum,10
kirdik,10
xolani,10
dunyo,10
yonida,10
o‘g‘li,10
qish,10
deyman,10
fotiha,10
joyida,10
bilmagan,10
boshi,10
tamom,10
kimni,10
osilib,10
qilar,10
ko‘nglim,10
tirik,10
sut,10
urib,10
assalomu,10
sumkasini,10
abdujabbor,10
do‘stim,10
qipti,10
dam,10
echkini,10
shundan,10
keldik,10
yonib,10
orasiga,10
tushadi,10
quvonib,10
o‘lib,10
dadasi,10
o‘zing,10
burilib,10
salom,10
shuning,10
qahramon,10
bechora,10
o‘ng,10
asqar,10
kaftini,10
yaltiroq,10
yiqilib,10
etdi,10
otdi,10
xizmat,10
orqaga,10
bolaning,10
egamberdi,10
quyib,10
yog‘och,10
iltijo,10
javdirab,10
turadigan,10
joy,10
qoqdi,10
oladi,10
uka,10
tegdi,10
kelsa,10
buning,10
oradan,10
qolishdi,10
tol,10
kech,10
qochib,10
dumini,10
kulrang,10
bordim,10
yugurdim,10
qizil,10
o‘tirardi,9
na,9
suvga,9
yugurdi,9
xotini,9
jim,9
xo‘jani,9
yuzlandi,9
payqadim,9
qolib,9
kelinoyi,9
iye,9
gaplashib,9
oyoq,9
o‘tirgancha,9
oyijon,9
mehmonga,9
eshitib,9
kelganida,9
tomondan,9
osh,9
oltin,9
ekan-da,9
temir,9
choponli,9
xiyonat,9
o‘lgur,9
gapirib,9
dashnom,9
narida,9
qilay,9
ko‘hlik,9
qadamcha,9
og‘ir,9
bolasi,9
bilmay,9
qayrilib,9
biznikiga,9
bemalol,9
qo‘yaman,9
kuzda,9
jo‘raboshining,9
dutorni,9
loy,9
nafas,9
nariroqda,9
ko‘prik,9
pulni,9
xo‘pmi,9
qo‘shiq,9
odatdagidek,9
murodjon,9
buvining,9
sakrab,9
chiqarib,9
o‘xshash,9
qurib,9
sotib,9
qaytadan,9
orasidan,9
orqasiga,9
boshida,9
mahkam,9
turshak,9
ko‘rsam,9
hushtak,9
kir,9
g‘azabdan,9
yoniga,9
orasida,9
mashinani,9
o‘shandan,9
bosdi,9
yanayam,9
jonim,9
bering,9
tikilgancha,9
cho‘kdi,9
qayoqdan,9
artib,9
turibman,9
bo‘lar,9
mabodo,9
o‘lsin,9
o‘ynab,9
vrach,9
sezib,9
semiz,9
tish,9
siladi,9
tomon,8
tasadduqlar,8
yulduz,8
bo‘ladimi,8
ishdan,8
qo‘rquv,8
amallab,8
jonholatda,8
ko‘rsatib,8
odamlarga,8
kep,8
qisib,8
shukur,8
o‘tdik,8
ammamning,8
o‘tirsam,8
yo‘q-ku,8
pastak,8
aylanib-o‘rgilib,8
kechalari,8
zahoti,8
demang,8
sartaroshning,8
qiyin,8
oborib,8
kichik,8
bir-biriga,8
degin,8
etik,8
kafti,8
o‘rniga,8
labini,8
bilmadim,8
yoz,8
eri,8
tong,8
oshxonaga,8
erta,8
bahorda,8
qaddini,8
aniq,8
hurmat,8
cho‘chib,8
turdim,8
oldin,8
tanidim,8
zumda,8
yaraqlab,8
sizdan,8
iltijoli,8
yozib,8
kuladi,8
akaning,8
yuvosh,8
yo‘qmi,8
keling,8
qoqib,8
uyda,8
kitob,8
chirqillab,8
olov,8
bundoq,8
joyda,8
qulog‘ini,8
ora-chora,8
sukunat,8
soldi,8
barmoqlari,8
odamning,8
charm,8
qorga,8
man,8
his,8
tajang,8
qilasan,8
o‘rab,8
o‘rtaga,8
mendan,8
rostini,8
biron,8
urushdan,8
qildim,8
qolsa,8
quchoqlab,8
chol,8
to‘lib,8
desang,8
chamasi,8
qirq,8
voqea,8
yo‘l,8
nonni,8
suyanib,8
odamga,8
ko‘r,8
kelardi,8
deganda,8
olish,8
oqib,8
ishini,8
o‘tirdim,8
hujraga,8
o‘ylanib,8
tanchaga,8
ayvon,8
o‘zidan,8
o‘ziyam,8
ko‘zimni,8
muzlab,8
otam,8
ketishdi,8
sovchi,8
jiddiy,8
o‘xshab,8
niso,8
qilmang,8
kelayotgan,8
qanday,7
ukamning,7
yo‘ldan,7
o‘g‘lini,7
zamonda,7
yumib,7
qiyshayib,7
qo‘limni,7
qiy-chuv,7
kelmaydi,7
oka,7
oyog‘iga,7
qaramay,7
opaning,7
qog‘ozga,7
yuzida,7
bostirib,7
nola,7
shunga,7
bolasini,7
tor,7
moshkichiri,7
oltmishvoyim,7
talmovsirab,7
ko‘zida,7
nafasi,7
chayqab,7
bildingmi,7
ko‘rmagan,7
isib,7
oyog‘ini,7
ketayotgan,7
qip-qizil,7
hatlab,7
tutgan,7
qo‘sha-qo‘sha,7
aybdor,7
quyi,7
sarg‘ayib,7
tursam,7
nuqtaga,7
qo‘ydi-da,7
ukamga,7
qo‘llari,7
ehtiyot,7
uyi,7
tushirib,7
tezroq,7
yalinib,7
to‘xtadi,7
harom,7
deysizmi,7
dasturxonga,7
qaltirab,7
o‘rtoq,7
choynak,7
esimga,7
pichirlab,7
joyiga,7
vaqt,7
ko‘rish,7
tovushi,7
bilmaydi,7
o‘sib,7
tez,7
esimda,7
bog‘lab,7
bo‘larkan,7
xo‘rsindi,7
oyoqlari,7
valini,7
ko‘k,7
ayt,7
ko‘mir,7
soyasida,7
tushuntirdi,7
ayni,7
tushdik,7
seni,7
yurt,7
ochiq,7
oldidan,7
qoldi-da,7
uchundir,7
qalay,7
duo,7
hiqillab,7
tuhmat,7
dasturxon,7
ichadi,7
olishga,7
etgan,7
to‘ldirib,7
oladi-da,7
chekkaga,7
o‘rnimdan,7
ma,7
harsillab,7
oldimga,7
iliq,7
uchiga,7
yuragim,7
stol,7
qovog‘ini,7
o‘zimni,7
kechada,7
atrofga,7
ilib,7
paqir,7
o‘tgan,7
ro‘mol,7
ko‘ylagining,7
taqqan,7
marmar,7
narsaga,7
orif,7
birida,7
nasib,7
shang‘illab,7
o‘ylayman,7
ochdi,7
zog‘ora,7
jiyda,7
mehmonlar,7
chuqur,7
qara,7
arqonni,7
aytadi,7
lablari,7
chiroq,7
ishqilib,7
ko‘targan,7
boshimga,7
anovi,7
baland,7
balo,7
qo‘yibdi,7
biladi,7
uchib,7
ola,7
g‘oyib,7
ko‘nglini,7
barmog‘i,7
ikkalasi,7
bechoraning,7
esankirab,7
ovora,7
qog‘oz,7
desangiz,7
shunaqangi,7
chiqardi,7
suzib,7
tili,7
zo‘rg‘a,7
burildi,7
echkimni,7
echkining,7
ikkitadan,7
ko‘rganda,7
tasadduq,7
tug‘adi,7
o‘t,7
aralash,7
baravar,7
uyiga,7
rozi,7
odamlarning,7
pufayka,7
keng,7
onalar,7
insof,7
tosh,7
qulog‘i,7
bular,7
yuragimni,6
ichib,6
orom,6
yelkasidan,6
o‘qib,6
qarindoshim,6
o‘ychan,6
qilayotgan,6
dalavoyga,6
yolg‘iz,6
yig‘lamsirab,6
necha,6
quruq,6
ukamni,6
deyishibdi,6
iz,6
mehmon,6
o‘xshatib,6
keladigan,6
etsa,6
bo‘lak,6
salqin,6
kasal,6
eshak,6
birpasdan,6
chimirdi,6
o‘qituvchim,6
mo‘ralab,6
qopti,6
yanga,6
egilib,6
hammayoq,6
uchi,6
ellik,6
zirillab,6
kitobim,6
dod,6
anqib,6
dik,6
usmon,6
qovog‘i,6
tishlab,6
yurdi,6
yig‘lar,6
qars,6
ketar,6
ko‘radi,6
tiqilib,6
o‘rtog‘im,6
bizni,6
ostonada,6
yulduzlar,6
tur,6
cho‘ntagini,6
gapiradi,6
burni,6
qo‘rqaman,6
yig‘lay,6
daryo,6
supaga,6
ovoz,6
ochildi,6
dag‘dag‘a,6
cho‘zib,6
mahalla,6
yopishib,6
ro‘parasida,6
bunday,6
aka-ukalar,6
go‘dak,6
taqib,6
toyning,6
ichi,6
ro‘y,6
operatsiya,6
xalta,6
artdi,6
paytida,6
bala,6
bultur,6
ishi,6
xonaga,6
hayot,6
mast,6
butunlay,6
bolalarning,6
bo‘yi,6
yildan,6
o‘tgach,6
shiddat,6
minib,6
og‘zi,6
qolsin,6
dunyoga,6
hovuch,6
muz,6
mahallaning,6
joydan,6
qaradi-yu,6
bo‘l,6
notanish,6
yotib,6
tortgan,6
angrayib,6
yegan,6
qo‘ydim,6
rostdan,6
qadar,6
bilinar-bilinmas,6
girgitton,6
to‘rt,6
do‘rillab,6
qolmabdi,6
eslab,6
meniki,6
sharaqlab,6
borganda,6
kelsam,6
chaqirib,6
qatta,6
burchagida,6
buyurdi,6
ekan-ku,6
qoravoy,6
og‘ziga,6
shundagina,6
terlab,6
ildam,6
keskin,6
o‘yga,6
xolaga,6
ayollar,6
gaplarni,6
qizarib,6
ostida,6
kiyim,6
zo‘r,6
mazasi,6
yupatib,6
toping,6
kepti,6
xabar,6
xat,6
mani,6
quloq,6
chillak,6
yozdi,6
sariq,6
katta-katta,6
nahotki,6
sinfda,6
qo‘yar,6
tantana,6
onasini,6
ko‘ylakli,6
onasiga,6
ro‘molli,6
pakana,6
keladi-da,6
aylantirib,6
arra,6
kirgan,6
dersiz,6
ko‘chib,6
osmonda,6
titrar,6
tomoq,6
o‘tadi,6
ovozim,6
